ciudad,codigo,depto_codigo,mun_codigo
ORITO,86320,86,320
PUERTO ASÍS Códigos,86568,86,568
PUERTO CAICEDO,86569,86,569
PUERTO GUZMÁN,86571,86,571
LEGUÍZAMO,86573,86,573
SIBUNDOY,86749,86,749
SAN MIGUEL,86757,86,757
SANTIAGO,86760,86,760
VALLE DEL GUAMUEZ,86865,86,865
VILLAGARZÓN,86885,86,885
SAN ANDRÉS,88001,88,001
PROVIDENCIA,88564,88,564
LETICIA,91001,91,001
EL ENCANTO,91263,91,263
LA CHORRERA,91405,91,405
LA PEDRERA,91407,91,407
LA VICTORIA,91430,91,430
MIRITI - PARANÁ,91460,91,460
PUERTO ALEGRÍA,91530,91,530
PUERTO ARICA,91536,91,536
PUERTO NARIÑO,91540,91,540
PUERTO SANTANDER,91669,91,669
TARAPACÁ,91798,91,798
INÍRIDA,94001,94,001
BARRANCO MINAS,94343,94,343
MAPIRIPANA,94663,94,663
SAN FELIPE,94883,94,883
PUERTO COLOMBIA,94884,94,884
LA GUADALUPE,94885,94,885
CACAHUAL,94886,94,886
PANA PANA,94887,94,887
MORICHAL,94888,94,888
SAN JOSÉ DEL GUAVIARE,95001,95,001
CALAMAR,95015,95,015
EL RETORNO,95025,95,025
MIRAFLORES,95200,95,200
MITÚ,97001,97,001
CARURU,97161,97,161
PACOA,97511,97,511
TARAIRA,97666,97,666
PAPUNAUA,97777,97,777
YAVARATÉ,97889,97,889
PUERTO CARREÑO,99001,99,001
LA PRIMAVERA,99524,99,524
SANTA ROSALÍA,99624,99,624
CUMARIBO,99773,99,773
