run_id,fecha_hora,msg_id,subject,pdf_elegido,cufe,numero,fecha_factura,zip_match,estado,tipo_resultado,filas_generadas,motivo_no_registro,calidad_datos,score_calidad,campos_faltantes,alertas_calidad,total_detectado_calidad,duracion_s,nuevos,enriquecidas,fuente,error
20260611_075021_db00639c,2026-06-11T07:54:02,AAMkADkwZmQ0YTA5LWE0M2MtNDk3Ni1hMzUzLTE0OTQxZDcwZWExMgBGAAAAAADJoyAzIWZBQakanooks8Z-BwBz4_gG-XGLQKeK0wIDJ6A7AAV36zxOAABz4_gG-XGLQKeK0wIDJ6A7AAXQH1l1AAA=,Aprobado- Factura  -  FE6278102 - Radicado 192980 - EMERMEDICA S.A - Joyco Consultores S.A.S. - NA,fv08001267850182602526503.pdf,0b7da4c47aaceb49fb059c9e06b0bdc9c5c46dbbecb7c0712f7d8d6377a05e84a7fedb44e4540aa6d26f537e01d1c4b7,09-15681,2026-06-03,(PDF_APROBADAS_FALLBACK),ok_pdf_aprobadas_fallback,OK_REGISTRADA_FALLBACK_PDF,7,,,,,,,67.552,7,7,PDF_APROBADAS|SUBJECT,
20260611_075021_db00639c,2026-06-11T07:55:16,AAMkADkwZmQ0YTA5LWE0M2MtNDk3Ni1hMzUzLTE0OTQxZDcwZWExMgBGAAAAAADJoyAzIWZBQakanooks8Z-BwBz4_gG-XGLQKeK0wIDJ6A7AAV36zxOAABz4_gG-XGLQKeK0wIDJ6A7AAXQH1l0AAA=,Aprobado- Factura  -  FAGR 344 - Radicado 192956 - FERREAGRO EL PROGRESO - Cucutilla - Cornejo - NA,fv0006663716008260000006c.pdf,91c0350a806a4c440a18034338f82659b61d0e95c4a8a31b39a3cfa7ec502f703140acbd85c08e0280abbee7ceb5d4c5,FAGR344,2026-06-09,z0006663716008260000006c.zip,ok,OK_REGISTRADA,7,,,,,,,73.899,7,7,CUFE|SUBJECT,
20260611_075021_db00639c,2026-06-11T07:56:39,AAMkADkwZmQ0YTA5LWE0M2MtNDk3Ni1hMzUzLTE0OTQxZDcwZWExMgBGAAAAAADJoyAzIWZBQakanooks8Z-BwBz4_gG-XGLQKeK0wIDJ6A7AAV36zxOAABz4_gG-XGLQKeK0wIDJ6A7AAXQH1lzAAA=,Aprobado- Factura  -  FEAS 175 - Radicado 192981 - AGUA SALUD LIMPIEZA Y ULTRAPOTABILIZACION - Cucutilla - Cornejo - NA,fv090180900900826000000af.pdf,7199f3686b12c4e9d5aa2e85c50cd13101ba283a35bdf7958a921daf21c45e5d4e12c218424209c05a89b25b45ff636f,FEAS175,2026-06-10,z090180900900826000000af.zip,ok,OK_REGISTRADA,7,,,,,,,83.317,7,7,CUFE|SUBJECT,
