run_id,fecha_hora,msg_id,subject,pdf_elegido,cufe,numero,fecha_factura,zip_match,estado,duracion_s,nuevos,enriquecidas,fuente,error
20260311_130624_39accecf,2026-03-11T13:15:48,AAMkADkwZmQ0YTA5LWE0M2MtNDk3Ni1hMzUzLTE0OTQxZDcwZWExMgBGAAAAAADJoyAzIWZBQakanooks8Z-BwBz4_gG-XGLQKeK0wIDJ6A7AAV36zxOAABz4_gG-XGLQKeK0wIDJ6A7AAWRFvV0AAA=,Aprobado- Factura  -  C20A 9743 - Radicado 190249 - COMIDAS VARPEL SAS - Gerencia - NA,fv09008089260152600009743.pdf,3dd63fa13e2b066075ca009bbb2d28d82bc49a5429ba1dd7197edae3e2772c0bb9fe319a8dcf1b226ed68088ae766786,AC26,2024-05-07,,sin_match,0.467,0,0,normal,
20260311_130624_39accecf,2026-03-11T13:15:48,AAMkADkwZmQ0YTA5LWE0M2MtNDk3Ni1hMzUzLTE0OTQxZDcwZWExMgBGAAAAAADJoyAzIWZBQakanooks8Z-BwBz4_gG-XGLQKeK0wIDJ6A7AAV36zxOAABz4_gG-XGLQKeK0wIDJ6A7AAWRFvVzAAA=,Aprobado- Factura  -  FVN - 400052 - Radicado 190878 - VICTORIA BERNAL TRUJILLO - Cucutilla - Cornejo - NA,ad00517994950002600880205.pdf,2076c73b611de7bfa4a82435a0cd0f9258b810ef515500ff0344bbf2a5d64c37e6212b7f1265d0f3461b61c40c02e06e,FVN-400052,2024-10-18,,sin_match,0.517,0,0,normal,
20260311_130624_39accecf,2026-03-11T13:15:49,AAMkADkwZmQ0YTA5LWE0M2MtNDk3Ni1hMzUzLTE0OTQxZDcwZWExMgBGAAAAAADJoyAzIWZBQakanooks8Z-BwBz4_gG-XGLQKeK0wIDJ6A7AAV36zxOAABz4_gG-XGLQKeK0wIDJ6A7AAWRFvVyAAA=,Aprobado- Factura  -  BP 563  - Radicado 190900 - GRUPO INNOVA BP SAS - 01-2025-327 TOYO T2 S1 - NA,CONSORCIO CONSULTECNICOS -JOYCO FV 563.pdf,ad0f37dab9d77a4afbaf40ce63c0718dd41fb0a7959f20106069e0809745a09720f0224c87bb1c982717f7efb05585b8,NIT901842481,2027-09-22,,sin_match,0.912,0,0,normal,
20260311_130624_39accecf,2026-03-11T13:15:50,AAMkADkwZmQ0YTA5LWE0M2MtNDk3Ni1hMzUzLTE0OTQxZDcwZWExMgBGAAAAAADJoyAzIWZBQakanooks8Z-BwBz4_gG-XGLQKeK0wIDJ6A7AAV36zxOAABz4_gG-XGLQKeK0wIDJ6A7AAWRFvVxAAA=,Aprobado- Factura  -  BP 564 - Radicado 190899 - GRUPO INNOVA BP SAS - 01-2025-327 TOYO T2 S1 - NA,190898.pdf,3961633273c8344ca5e7257e172cfc167dc9cba6df91765384443d933bc3acef0914d6026766474f523f9310fb215f15,NIT901842481,2027-09-22,,sin_match,0.986,0,0,normal,
20260311_130624_39accecf,2026-03-11T13:16:09,AAMkADkwZmQ0YTA5LWE0M2MtNDk3Ni1hMzUzLTE0OTQxZDcwZWExMgBGAAAAAADJoyAzIWZBQakanooks8Z-BwBz4_gG-XGLQKeK0wIDJ6A7AAV36zxOAABz4_gG-XGLQKeK0wIDJ6A7AAWRFvVwAAA=,Aprobado- Factura  -  EN 9897 - Radicado 190933 - ENSAFE SAS - 01-2025-327 TOYO T2 S1 - NA,65a50bd9-9450-4da6-a8b6-1535b37c1a47.pdf,f0a5c6676d1a1362617b74b5dfac9e75db06f0ce42ec2ef955923be8d0ad072a0bfeb63c226a186b9959647a6ee5829c,EN9897,2026-03-05,65a50bd9-9450-4da6-a8b6-1535b37c1a47.zip,ok,18.668,7,7,normal,
20260311_130624_39accecf,2026-03-11T13:16:27,AAMkADkwZmQ0YTA5LWE0M2MtNDk3Ni1hMzUzLTE0OTQxZDcwZWExMgBGAAAAAADJoyAzIWZBQakanooks8Z-BwBz4_gG-XGLQKeK0wIDJ6A7AAV36zxOAABz4_gG-XGLQKeK0wIDJ6A7AAWRFvVvAAA=,Aprobado- Factura  -  EN 9896 - Radicado 190932 - ENSAFE SAS - Dirección administrativa y financiera -Compras - NA,190932.pdf,574d32e3915e0a87dd8b6fd626384c3458615ac8e7b03c44e40d050bcf70aed7f75ccd6b6cf60dcca60e62282a6b91f3,EN9896,2026-03-05,fe7d8a94-196c-4ff1-95cd-43fd77758001.zip,ok,18.331,7,7,normal,
20260311_130624_39accecf,2026-03-11T13:16:46,AAMkADkwZmQ0YTA5LWE0M2MtNDk3Ni1hMzUzLTE0OTQxZDcwZWExMgBGAAAAAADJoyAzIWZBQakanooks8Z-BwBz4_gG-XGLQKeK0wIDJ6A7AAV36zxOAABz4_gG-XGLQKeK0wIDJ6A7AAWRFvVuAAA=,Aprobado- Factura  -  EN 9895 - Radicado 190931 - ENSAFE SAS - 01-2025-327 TOYO T2 S1 - NA,54a2ed2d-6c2d-4b93-ad7d-cd9fdc70a095.pdf,b8c75d1d091873fbce7e8e49fbf3cdb2a0d8469945b5290b9ef21174d2627e8da6d0c74beaa062a9119106e7e14ecac3,EN9895,2026-03-05,54a2ed2d-6c2d-4b93-ad7d-cd9fdc70a095.zip,ok,18.619,7,7,normal,
20260311_130624_39accecf,2026-03-11T13:16:46,AAMkADkwZmQ0YTA5LWE0M2MtNDk3Ni1hMzUzLTE0OTQxZDcwZWExMgBGAAAAAADJoyAzIWZBQakanooks8Z-BwBz4_gG-XGLQKeK0wIDJ6A7AAV36zxOAABz4_gG-XGLQKeK0wIDJ6A7AAWRFvVsAAA=,Aprobado- Factura  -  A515149584 - Radicado 190886 - SERVIENTREGA SA - Pto. Gaitán – Pte. Arimena - NA,Representacion grafica.pdf,67d4f0b929c253a07d0a5a33db17cd6a007f3c3200a25d57ace29be74345068ac5db5c55185a6d0458de50f876080a00,A515149584,2026-03-04,,sin_match,0.458,0,0,normal,
20260311_130624_39accecf,2026-03-11T13:16:48,AAMkADkwZmQ0YTA5LWE0M2MtNDk3Ni1hMzUzLTE0OTQxZDcwZWExMgBGAAAAAADJoyAzIWZBQakanooks8Z-BwBz4_gG-XGLQKeK0wIDJ6A7AAV36zxOAABz4_gG-XGLQKeK0wIDJ6A7AAWRFvVrAAA=,Aprobado- Factura  -  G 2481 - Radicado 190868 - TRANSPORTES MULTIMODAL GROUP SAS - Bicentenario - NA,G2481-CONSORCIO VIAL BICENTENARIO.pdf,,G 2481,,,sin_match,1.622,0,0,normal,
20260311_130624_39accecf,2026-03-11T13:16:48,AAMkADkwZmQ0YTA5LWE0M2MtNDk3Ni1hMzUzLTE0OTQxZDcwZWExMgBGAAAAAADJoyAzIWZBQakanooks8Z-BwBz4_gG-XGLQKeK0wIDJ6A7AAV36zxOAABz4_gG-XGLQKeK0wIDJ6A7AAWRFvVqAAA=,Aprobado- Factura  -  HYSB 927874 - Radicado 190843 - H&S COMERCIALIZADORA SAS - Dirección administrativa y financiera -Compras - NA,fv09005163740082600004b60.pdf,6bbc6143e879e6029262ee122951079a7a81f103d4d993815cf9ca7b1c78478a843b046fb1101c8e460876489a7e9313,HYSB927874,2026-03-03,,sin_match,0.627,0,0,normal,
